claim_id,claim,population,outcome,certainty,risk_of_bias,inconsistency,indirectness,imprecision,publication_bias,robustness_r,mechanism_m,rationale,status
FP-CERT-REC-001,"Propranolol can alter later conditioned fear expression when paired with memory reactivation","healthy human laboratory","fear/startle/SCR",MODERATE,SOME,SOME,LOW,SOME,UNCLEAR,R3,M2-M3,"Multiple human studies and 2026 systematic review support a laboratory effect but modality/paradigm inconsistency remains",provisional
FP-CERT-REC-002,"Propranolol plus trauma-memory reactivation reduces PTSD symptoms more than placebo","clinical PTSD","PTSD symptoms",LOW,SOME,SERIOUS,LOW,SERIOUS,UNCLEAR,R2-R3,M2,"Brunet positive signal conflicts with Roullet null and 2022 vs 2025 meta-analytic conclusions; clinical effect remains uncertain",provisional
FP-CERT-REC-003,"Retrieval-extinction reliably prevents return of conditioned fear in humans","healthy human laboratory","return of fear",LOW,SOME,SERIOUS,LOW,SOME,UNCLEAR,R2-R3,M2,"Influential positive original result is weakened by reanalysis and negative preregistered replication",provisional
FP-CERT-REC-004,"Prediction error is a relevant moderator of post-retrieval fear-memory updating","healthy human laboratory","fear-memory updating",LOW,SOME,SERIOUS,LOW,SOME,UNCLEAR,R2-R3,M1-M2,"Several studies support PE relevance but precise boundary rules have failed replication and operationalizations vary",provisional
FP-CERT-REC-005,"A single prediction error universally triggers fear-memory destabilization","healthy human laboratory","reconsolidation trigger",VERY_LOW,SOME,VERY_SERIOUS,LOW,SOME,UNCLEAR,R1-R3,M1-M2,"Direct failed replication and null PE-type studies argue against a universal one-PE rule",provisional
FP-CERT-REC-006,"Memory strength moderates retrieval-extinction/reconsolidation effects in humans","healthy human laboratory","return of fear",VERY_LOW,UNCLEAR,SOME,LOW,SERIOUS,UNCLEAR,R1-R2,M2,"New 2025 direct study is relevant but independent replication and full effect extraction are lacking",provisional
FP-CERT-REC-007,"PTSD symptom improvement after reactivation demonstrates reconsolidation as the mechanism","clinical PTSD","mechanism",VERY_LOW,SOME,SERIOUS,VERY_SERIOUS,SERIOUS,UNCLEAR,R2,M1-M2,"Clinical symptom change does not isolate reconsolidation from exposure extinction expectancy contact or nonspecific pharmacology",provisional
FP-CERT-DCS-001,"DCS produces a small average augmentation of exposure-based therapy across anxiety OCD PTSD","mixed clinical anxiety/OCD/PTSD","symptom improvement",MODERATE,SOME,SOME,SOME,SOME,UNCLEAR,R3,NA,"IPD meta-analysis shows a small average effect but protocols diagnoses and timing vary",provisional
FP-CERT-DCS-002,"DCS provides a consistent clinical benefit specifically in PTSD exposure therapy","clinical PTSD","PTSD symptoms",LOW,SOME,SERIOUS,LOW,SOME,UNCLEAR,R2-R3,NA,"PTSD trials include positive negative and null findings; larger multisite trial found no stable main effect",provisional
FP-CERT-FAAH-001,"FAAH inhibition increases anandamide in humans","humans","target engagement",MODERATE,LOW,LOW,LOW,LOW,UNCLEAR,R3,NA,"Direct pharmacodynamic target engagement shown in experimental medicine and PTSD trial",provisional
FP-CERT-FAAH-002,"FAAH inhibition improves delayed extinction recall in healthy humans","healthy adults","extinction recall",LOW,SOME,SOME,LOW,SOME,UNCLEAR,R2,NA,"Controlled experimental-medicine signal but limited independent replication",provisional
FP-CERT-FAAH-003,"FAAH inhibition improves exposure-based CBT outcomes in PTSD","clinical PTSD","CAPS-5 and secondary symptoms",LOW,SOME,LOW,LOW,SOME,UNCLEAR,R2-R3,NA,"Direct N=100 randomized trial was negative despite increased anandamide",provisional
