overlap_group,publication_or_study,year,study_card_path,status,evidence,notes
CHALKIA_2020_PROGRAM,Chalkia direct registered replication,2020,07_STUDIES/VERIFIED/2020_Chalkia_Retrieval_Extinction_Replication.md,distinct_sample,verified,"Direct replication sample; keep separate from verification/reanalysis paper"
CHALKIA_2020_PROGRAM,Chalkia verification/reanalysis of original Schiller data,2020,,same_original_data,verified,"Publication reanalyzes original Schiller dataset; must not be counted as a new participant sample"
SCHILLER_2010,Schiller retrieval-extinction experiment,2010,07_STUDIES/VERIFIED/2010_Schiller_Retrieval_Extinction.md,original_sample,verified,"Original human retrieval-extinction dataset"
BRUNET_PTSD,Brunet propranolol reactivation RCT,2018,07_STUDIES/VERIFIED/2018_Brunet_Propranolol_Reactivation_RCT.md,unknown_overlap,needs_check,"No overlap assumed; trial population identity should be checked against related publications before meta-analysis"
ROULLET_PTSD,Roullet propranolol/placebo RCT,2021,07_STUDIES/VERIFIED/2021_Roullet_Propranolol_Placebo.md,unknown_overlap,needs_check,"Treat as independent until publication/registry linkage is checked"
WOOD_2015,Wood three negative PTSD studies,2015,07_STUDIES/VERIFIED/2015_Wood_Negative_Reconsolidation.md,multiple_substudies,verified,"One publication contains three randomized PTSD experiments; do not treat publication count as one homogeneous sample"
SCHNURR_PE_CPT_NCT01928732,Schnurr PE vs CPT parent RCT,2022,07_STUDIES/VERIFIED/2022_Schnurr_PE_CPT_Multisite_RCT.md,original_sample,verified,"Single multisite RCT cohort; N=916 randomized across PE and CPT arms. Use this as the parent sample ID."
SCHNURR_PE_CPT_NCT01928732,Schnurr session-level symptom analysis,2024,,same_original_data,verified,"Secondary symptom-level reanalysis of the 2022 NCT01928732 cohort; not an independent trial or participant sample. PMID 38546622."
KOOISTRA_2025_PTSD_EXPECTANCY,Kooistra expectancy-violation exposure trial,2025,07_STUDIES/VERIFIED/2025_Kooistra_Expectancy_Violation_Exposure_PTSD.md,distinct_sample,verified,Standalone randomized trial; N=60 per PubMed abstract. No linked secondary publication in the current repository identified; recheck before quantitative synthesis.
RIBBENS_2026_NABU,Ribbens human sodium-butyrate fear-extinction experiment,2026,07_STUDIES/VERIFIED/2026_Ribbens_NaBu.md,original_sample,verified,N=180 randomized in the primary study. The mechanistic synthesis repeats this primary article and is not an independent cohort; see duplicate-reference registry.
BERCELI_TRE_2014,"Berceli caregiver TRE pilot, canonical pilot card",2014,07_STUDIES/VERIFIED/2014_Berceli_TRE_Caregivers_Pilot.md,original_sample,verified,PMID 25568824; DOI 10.7453/gahmj.2014.032. Canonical card reports 23 started and 21 completed.
BERCELI_TRE_2014,Berceli caregiver TRE alias card,2014,07_STUDIES/VERIFIED/2014_Berceli_TRE_Caregivers.md,same_original_data,verified,"Explicit alias of the canonical pilot card; same DOI/PMID, not an independent study or participant sample."
