study_id,randomization_process,allocation_concealment,participant_blinding,outcome_assessor_blinding,missing_outcome_data,outcome_measurement,selective_reporting,analysis_flexibility,multiplicity,baseline_imbalance,expectancy_unblinding,participant_overlap,overall,notes
FP-REC-BRUNET-2018,LOW,UNCLEAR,LOW,UNCLEAR,SOME,SOME,SOME,SOME,SOME,UNCLEAR,SOME,UNCLEAR,SOME,"Double-blind RCT; physiological beta-blockade may threaten blinding; mechanism not isolated"
FP-REC-ROULLET-2021,LOW,UNCLEAR,LOW,UNCLEAR,SOME,SOME,SOME,SOME,SOME,SOME,SOME,UNCLEAR,SOME,"Double-blind RCT; baseline age difference and follow-up attrition noted; subgroup signal not primary overall result"
FP-REC-CHALKIA-2020,LOW,UNCLEAR,UNCLEAR,UNCLEAR,LOW,LOW,LOW,LOW,SOME,LOW,UNCLEAR,LOW,LOW-SOME,"Preregistered direct replication; strong design for testing retrieval-extinction claim"
FP-REC-SCHILLER-2010,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,SOME,SOME,SOME,HIGH,SOME,UNCLEAR,UNCLEAR,LOW,SOME-HIGH,"Original influential signal; later reanalysis and direct replication reduce confidence in strong procedure claim"
FP-REC-WOOD-2015,LOW,UNCLEAR,UNCLEAR,UNCLEAR,SOME,SOME,SOME,SOME,SOME,UNCLEAR,UNCLEAR,SOME,SOME,"Three small randomized PTSD experiments; small samples and heterogeneous pharmacological probes"
FP-REC-CHEN-2025,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,SOME,UNCLEAR,UNCLEAR,SOME,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,"Abstract-level verification only; fulltext/preregistration required before stronger RoB call"
FP-REC-PAUL-2025,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,SOME,UNCLEAR,UNCLEAR,SOME,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,"Abstract-level verification only; single newer boundary-condition study"
FP-REC-BOS-2019,LOW,UNCLEAR,LOW,UNCLEAR,UNCLEAR,SOME,UNCLEAR,SOME,SOME,UNCLEAR,SOME,UNCLEAR,SOME-UNCLEAR,"Double-blind human experiment; fulltext RoB not yet completed"
FP-REC-GERLICHER-2022,UNCLEAR,UNCLEAR,LOW,UNCLEAR,UNCLEAR,SOME,UNCLEAR,SOME,SOME,UNCLEAR,SOME,UNCLEAR,SOME,"Direct null/replication-relevant human experiment; author clinic disclosure recorded; full RoB pending"
FP-FAAH-MAYO-2025,LOW,UNCLEAR,LOW,UNCLEAR,SOME,LOW,SOME,SOME,SOME,UNCLEAR,SOME,UNCLEAR,SOME,"Double-blind placebo RCT with target engagement; full domain-level coding still incomplete"
FP-RESP-JAMISON-2022,SOME,UNCLEAR,HIGH,UNCLEAR,SOME,SOME,SOME,SOME,SOME,UNCLEAR,HIGH,UNCLEAR,SOME-HIGH,"Nonblinded waitlist clinical trial; useful direct null outcome but expectancy/performance bias possible"
FP-BEH-SCHNURR-2022,LOW,UNCLEAR,HIGH,LOW,SOME,SOME,SOME,SOME,SOME,UNCLEAR,SOME,UNCLEAR,SOME,"Provisional screening from report, not full RoB 2: central computer randomization; psychotherapy participants/providers unblinded; masked central CAPS-5 assessment; substantial treatment dropout, greater in PE; 2024 symptom-level analysis reuses same cohort."
